"drg","drgnum","drgweight","drgsys","drgvers","glos","trim","low","alos","fydate","fyear"
"568",568,0,"MS-DRG",31,0,0,,0,10/1/2013,2014
"569",569,0,"MS-DRG",31,0,0,,0,10/1/2013,2014
"570",570,2.4154,"MS-DRG",31,7.19999980926514,0,,9.39999961853027,10/1/2013,2014
"571",571,1.4906,"MS-DRG",31,5.40000009536743,0,,6.5,10/1/2013,2014
"572",572,1.0077,"MS-DRG",31,3.79999995231628,0,,4.59999990463257,10/1/2013,2014
"573",573,3.4623,"MS-DRG",31,8.19999980926514,0,,12.3000001907349,10/1/2013,2014
"574",574,2.6883,"MS-DRG",31,7.09999990463257,0,,9.60000038146973,10/1/2013,2014
"575",575,1.4376,"MS-DRG",31,4.19999980926514,0,,5.40000009536743,10/1/2013,2014
"576",576,4.2927,"MS-DRG",31,7.90000009536743,0,,12.3000001907349,10/1/2013,2014
"577",577,2.0212,"MS-DRG",31,4,0,,5.90000009536743,10/1/2013,2014
"578",578,1.2617,"MS-DRG",31,2.40000009536743,0,,3.29999995231628,10/1/2013,2014
"579",579,2.6106,"MS-DRG",31,7,0,,9.19999980926514,10/1/2013,2014
"580",580,1.5398,"MS-DRG",31,3.79999995231628,0,,5.09999990463257,10/1/2013,2014
"581",581,1.0605,"MS-DRG",31,2,0,,2.59999990463257,10/1/2013,2014
"582",582,1.1913,"MS-DRG",31,2,0,,2.70000004768372,10/1/2013,2014
"583",583,0.9711,"MS-DRG",31,1.5,0,,1.70000004768372,10/1/2013,2014
"584",584,1.6998,"MS-DRG",31,3.5,0,,4.80000019073486,10/1/2013,2014
"585",585,1.3162,"MS-DRG",31,2,0,,2.59999990463257,10/1/2013,2014
"586",586,0,"MS-DRG",31,0,0,,0,10/1/2013,2014
"587",587,0,"MS-DRG",31,0,0,,0,10/1/2013,2014
"588",588,0,"MS-DRG",31,0,0,,0,10/1/2013,2014
"589",589,0,"MS-DRG",31,0,0,,0,10/1/2013,2014
"590",590,0,"MS-DRG",31,0,0,,0,10/1/2013,2014
"591",591,0,"MS-DRG",31,0,0,,0,10/1/2013,2014
"592",592,1.4131,"MS-DRG",31,5.09999990463257,0,,6.59999990463257,10/1/2013,2014
"593",593,1.0094,"MS-DRG",31,4.19999980926514,0,,5.09999990463257,10/1/2013,2014
"594",594,0.6814,"MS-DRG",31,3.09999990463257,0,,3.90000009536743,10/1/2013,2014
"595",595,1.9464,"MS-DRG",31,5.69999980926514,0,,7.80000019073486,10/1/2013,2014
"596",596,0.9284,"MS-DRG",31,3.59999990463257,0,,4.59999990463257,10/1/2013,2014
"597",597,1.7064,"MS-DRG",31,5.19999980926514,0,,7.09999990463257,10/1/2013,2014
"598",598,1.0817,"MS-DRG",31,3.90000009536743,0,,5.09999990463257,10/1/2013,2014
"599",599,0.6547,"MS-DRG",31,2.5,0,,3.09999990463257,10/1/2013,2014
"600",600,0.9963,"MS-DRG",31,3.79999995231628,0,,4.69999980926514,10/1/2013,2014
"601",601,0.6445,"MS-DRG",31,2.79999995231628,0,,3.40000009536743,10/1/2013,2014
"602",602,1.4607,"MS-DRG",31,5,0,,6.30000019073486,10/1/2013,2014
"603",603,0.8402,"MS-DRG",31,3.59999990463257,0,,4.19999980926514,10/1/2013,2014
"604",604,1.3223,"MS-DRG",31,3.90000009536743,0,,5.09999990463257,10/1/2013,2014
"605",605,0.7372,"MS-DRG",31,2.59999990463257,0,,3.20000004768372,10/1/2013,2014
"606",606,1.3594,"MS-DRG",31,4.30000019073486,0,,6,10/1/2013,2014
"607",607,0.7043,"MS-DRG",31,2.79999995231628,0,,3.59999990463257,10/1/2013,2014
"608",608,0,"MS-DRG",31,0,0,,0,10/1/2013,2014
"609",609,0,"MS-DRG",31,0,0,,0,10/1/2013,2014
"610",610,0,"MS-DRG",31,0,0,,0,10/1/2013,2014
"611",611,0,"MS-DRG",31,0,0,,0,10/1/2013,2014
"612",612,0,"MS-DRG",31,0,0,,0,10/1/2013,2014
